cow_id,lactation_number,event,calving_date
9599,2,BRED,2018-02-03
9603,2,BRED,2018-08-21
9605,3,BRED,2019-04-17
9609,3,BRED,2019-02-19
9610,3,BRED,2019-04-02
9612,2,BRED,2018-03-26
9615,3,BRED,2019-03-10
9616,3,BRED,2019-05-08
9616,2,BRED,2018-04-08
9618,2,BRED,2018-04-04
9618,3,BRED,2019-04-03
9624,3,BRED,2019-04-18
9627,2,BRED,2018-03-05
9630,2,BRED,2018-04-07
9634,3,BRED,2019-04-28
9636,2,BRED,2018-08-11
9637,2,BRED,2018-03-12
9638,2,BRED,2018-07-25
9642,2,BRED,2018-04-25
9644,2,BRED,2018-02-01
9644,3,BRED,2019-03-25
9647,2,BRED,2018-08-15
9648,2,BRED,2018-04-06
9653,2,BRED,2018-03-02
9656,3,BRED,2019-04-08
9657,2,BRED,2018-04-01
9661,2,BRED,2018-02-12
9662,2,BRED,2018-06-02
9667,3,BRED,2019-08-11
9667,2,BRED,2018-08-03
9670,3,BRED,2019-04-04
9677,2,BRED,2018-06-06
9678,2,BRED,2018-04-28
9679,2,BRED,2018-05-09
9691,2,BRED,2018-08-05
9693,3,BRED,2019-04-01
9694,2,BRED,2018-04-21
9695,2,BRED,2018-05-10
9696,3,BRED,2019-02-18
9701,3,BRED,2019-05-21
9701,2,BRED,2018-05-29
9705,2,BRED,2018-04-23
9719,2,BRED,2018-10-27
9722,2,BRED,2018-11-19
9725,2,BRED,2018-07-08
9731,2,BRED,2018-09-23
9734,2,BRED,2018-05-04
9735,2,BRED,2018-05-10
9735,3,BRED,2019-06-15
9739,3,BRED,2019-06-02
9740,3,BRED,2019-05-31
9741,2,BRED,2018-08-22
9744,2,BRED,2018-04-22
9744,3,BRED,2019-07-02
9746,2,BRED,2018-11-22
9749,2,BRED,2018-06-29
9749,3,BRED,2019-06-23
9750,2,BRED,2018-06-26
9750,3,BRED,2019-07-21
9755,2,BRED,2018-04-22
9756,2,BRED,2018-09-17
9758,2,BRED,2018-04-20
9759,2,BRED,2018-11-05
9760,2,BRED,2018-10-11
9761,2,BRED,2018-08-23
9767,2,BRED,2018-04-24
9774,2,BRED,2018-05-02
9780,2,BRED,2018-05-28
9781,2,BRED,2018-05-30
9781,3,BRED,2019-07-31
9784,3,BRED,2019-07-03
9790,2,BRED,2018-06-24
9792,3,BRED,2019-05-11
9793,1,BRED,2017-11-29
